LANGUAGE,English,Russian

STR_rls_face_female_2, "Woman Face electra", "Лицо женское electra"
STR_rls_face_female_1, "Woman Face girl1", "Лицо женское girl1"

STR_rls_face_angelina, "Woman Face 3thP_fem_angelina", "Лицо женское 3thP_fem_angelina"
STR_rls_face_audrey, "Woman Face 3thP_fem_audrey", "Лицо женское 3thP_fem_audrey"
STR_rls_face_carrie, "Woman Face 3thP_fem_carrie", "Лицо женское 3thP_fem_carrie"
STR_rls_face_cynthia, "Woman Face 3thP_fem_cynthia", "Лицо женское 3thP_fem_cynthia"
STR_rls_face_dushku, "Woman Face 3thP_fem_dushku", "Лицо женское 3thP_fem_dushku"
STR_rls_face_gillian, "Woman Face 3thP_fem_gillian", "Лицо женское 3thP_fem_gillian"
STR_rls_face_heather, "Woman Face 3thP_fem_heather", "Лицо женское 3thP_fem_heather"
STR_rls_face_hedy, "Woman Face 3thP_fem_hedy", "Лицо женское 3thP_fem_hedy"
STR_rls_face_holly, "Woman Face 3thP_fem_holly", "Лицо женское 3thP_fem_holly"
STR_rls_face_jennifer, "Woman Face 3thP_fem_jennifer", "Лицо женское 3thP_fem_jennifer"
STR_rls_face_kate, "Woman Face 3thP_fem_kate", "Лицо женское 3thP_fem_kate"
STR_rls_face_keira, "Woman Face 3thP_fem_keira", "Лицо женское 3thP_fem_keira"
STR_rls_face_kimberley, "Woman Face 3thP_fem_kimberley", "Лицо женское 3thP_fem_kimberley"
STR_rls_face_kristin, "Woman Face 3thP_fem_kristin", "Лицо женское 3thP_fem_kristin"
STR_rls_face_lucy, "Woman Face 3thP_fem_lucy", "Лицо женское 3thP_fem_lucy"
STR_rls_face_marcell, "Woman Face 3thP_fem_marcell", "Лицо женское 3thP_fem_marcell"
STR_rls_face_mena, "Woman Face 3thP_fem_mena", "Лицо женское 3thP_fem_mena"
STR_rls_face_monica, "Woman Face 3thP_fem_monica", "Лицо женское 3thP_fem_monica"
STR_rls_face_natalie, "Woman Face 3thP_fem_natalie", "Лицо женское 3thP_fem_natalie"
STR_rls_face_pla, "Woman Face 3thP_fem_pla", "Лицо женское 3thP_fem_pla"
STR_rls_face_swede, "Woman Face 3thP_fem_swede", "Лицо женское 3thP_fem_swede"
STR_rls_face_swede02, "Woman Face 3thP_fem_swede02", "Лицо женское 3thP_fem_swede02"

STR_rls_face_men_p1, "Men Face 3thP_men_p1", "Лицо мужское 3thP_men_p1"
STR_rls_face_men_p1a, "Men Face 3thP_men_p1a", "Лицо мужское 3thP_men_p1a"
STR_rls_face_men_p3, "Men Face 3thP_men_p3", "Лицо мужское 3thP_men_p3"
STR_rls_face_men_p4, "Men Face 3thP_men_p4", "Лицо мужское 3thP_men_p4"
STR_rls_face_men_p6, "Men Face 3thP_men_p6", "Лицо мужское 3thP_men_p6"
STR_rls_face_men_p9, "Men Face 3thP_men_p9", "Лицо мужское 3thP_men_p9"
STR_rls_face_men_p11, "Men Face 3thP_men_p11", "Лицо мужское 3thP_men_p11"
STR_rls_face_men_p12, "Men Face 3thP_men_p12", "Лицо мужское 3thP_men_p12"
STR_rls_face_men_p13, "Men Face 3thP_men_p13", "Лицо мужское 3thP_men_p13"
STR_rls_face_men_p17, "Men Face 3thP_men_p17", "Лицо мужское 3thP_men_p17"
STR_rls_face_men_p18, "Men Face 3thP_men_p18", "Лицо мужское 3thP_men_p18"
STR_rls_face_men_terry, "Men Face tex_terry", "Лицо мужское tex_terry"




